"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C5,C6,C7","0.1u","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","5",""
"C2,C3","10u","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"D1,D2,D3,D4","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"F1","100mA","~","Fuse:Fuse_Bourns_MF-RG300","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","4",""
"J1","USB_C_Receptacle_PowerOnly_6P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Library:USB_C_PowerOnly","1",""
"LED1,LED2,LED3,LED4","LED","~","LED_THT:LED_D5.0mm","4",""
"R1,R5,R9,R10","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R2,R6,R7,R8","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R3","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","47k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"SW1,SW2","SW","~","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","2",""
"SW3","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","74HC04","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U2","74HC74","74xx/74hc_hct74.pdf","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U3","74HC00","http://www.ti.com/lit/gpn/sn74hc00","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U4","74HC153","http://www.ti.com/lit/gpn/sn74LS153","Package_DIP:DIP-16_W7.62mm_Socket","1",""
